r non-Coulombic_BLPS full_BLPS
   0.0000010000 1000001.5451081210    1.5451081210
   1.2300000000    1.1422023488    0.3291942187
   1.2400000000    1.1227815811    0.3163299682
   1.2500000000    1.1035404816    0.3035404816
   1.2600000000    1.0844788710    0.2908280774
   1.2700000000    1.0655966065    0.2781950317
   1.2800000000    1.0468935773    0.2656435773
   1.2900000000    1.0283697018    0.2531759034
   1.3000000000    1.0100249216    0.2407941524
   1.3100000000    0.9918592074    0.2285004288
   1.3200000000    0.9738725429    0.2162967853
   1.3300000000    0.9560649304    0.2041852311
   1.3400000000    0.9384363859    0.1921677292
   1.3500000000    0.9209869371    0.1802461963
   1.3600000000    0.9037166199    0.1684225023
   1.3700000000    0.8866254770    0.1566984697
   1.3800000000    0.8697135545    0.1450758734
   1.3900000000    0.8529809016    0.1335564412
   1.4000000000    0.8364275666    0.1221418523
   1.4100000000    0.8200535953    0.1108337371
   1.4200000000    0.8038590302    0.0996336781
   1.4300000000    0.7878439080    0.0885432087
   1.4400000000    0.7720082578    0.0775638133
   1.4500000000    0.7563520997    0.0666969273
   1.4600000000    0.7408754434    0.0559439365
   1.4700000000    0.7255782864    0.0453061775
   1.4800000000    0.7104606129    0.0347849373
   1.4900000000    0.6955223927    0.0243814531
   1.5000000000    0.6807635793    0.0140969127
   1.5100000000    0.6661841095    0.0039324539
   1.5200000000    0.6517839018   -0.0061108350
   1.5300000000    0.6375628548   -0.0160319164
   1.5400000000    0.6235208495   -0.0258297998
   1.5500000000    0.6096577434   -0.0355035469
   1.5600000000    0.5959733725   -0.0450522685
   1.5700000000    0.5824675515   -0.0544751237
   1.5800000000    0.5691400702   -0.0637713222
   1.5900000000    0.5559906951   -0.0729401225
   1.6000000000    0.5430191677   -0.0819808323
   1.6100000000    0.5302252043   -0.0908928081
   1.6200000000    0.5176084956   -0.0996754550
   1.6300000000    0.5051687058   -0.1083282267
   1.6400000000    0.4929054712   -0.1168506264
   1.6500000000    0.4808184058   -0.1252422003
   1.6600000000    0.4689070912   -0.1335025474
   1.6700000000    0.4571710789   -0.1416313163
   1.6800000000    0.4456098984   -0.1496281969
   1.6900000000    0.4342230483   -0.1574929280
   1.7000000000    0.4230099989   -0.1652252952
   1.7100000000    0.4119701892   -0.1728251324
   1.7200000000    0.4011030372   -0.1802923116
   1.7300000000    0.3904079235   -0.1876267585
   1.7400000000    0.3798842034   -0.1948284403
   1.7500000000    0.3695312032   -0.2018973682
   1.7600000000    0.3593482222   -0.2088335960
   1.7700000000    0.3493345237   -0.2156372278
   1.7800000000    0.3394893491   -0.2223084037
   1.7900000000    0.3298119093   -0.2288473086
   1.8000000000    0.3203013860   -0.2352541695
   1.8100000000    0.3109569329   -0.2415292549
   1.8200000000    0.3017776752   -0.2476728743
   1.8300000000    0.2927627099   -0.2536853775
   1.8400000000    0.2839111065   -0.2595671544
   1.8500000000    0.2752219066   -0.2653186340
   1.8600000000    0.2666941247   -0.2709402840
   1.8700000000    0.2583267482   -0.2764326101
   1.8800000000    0.2501187378   -0.2817961558
   1.8900000000    0.2420690280   -0.2870315011
   1.9000000000    0.2341765271   -0.2921392624
   1.9100000000    0.2264401179   -0.2971200915
   1.9200000000    0.2188586580   -0.3019746753
   1.9300000000    0.2114309801   -0.3067037349
   1.9400000000    0.2041558930   -0.3113080245
   1.9500000000    0.1970321810   -0.3157883318
   1.9600000000    0.1900586052   -0.3201454764
   1.9700000000    0.1832339049   -0.3243803083
   1.9800000000    0.1765567927   -0.3284937124
   1.9900000000    0.1700259655   -0.3324865974
   2.0000000000    0.1636400944   -0.3363599056
   2.0100000000    0.1573978310   -0.3401146068
   2.0200000000    0.1512978062   -0.3437516987
   2.0300000000    0.1453386314   -0.3472722060
   2.0400000000    0.1395188987   -0.3506771797
   2.0500000000    0.1338371815   -0.3539676966
   2.0600000000    0.1282920351   -0.3571448581
   2.0700000000    0.1228819975   -0.3602097900
   2.0800000000    0.1176055896   -0.3631636412
   2.0900000000    0.1124613163   -0.3660075832
   2.1000000000    0.1074476668   -0.3687428094
   2.1100000000    0.1025631152   -0.3713705341
   2.1200000000    0.0978061214   -0.3738919918
   2.1300000000    0.0931751314   -0.3763084367
   2.1400000000    0.0886685781   -0.3786211415
   2.1500000000    0.0842848821   -0.3808313969
   2.1600000000    0.0800224522   -0.3829405107
   2.1700000000    0.0758796859   -0.3849498071
   2.1800000000    0.0718549704   -0.3868606259
   2.1900000000    0.0679466828   -0.3886743218
   2.2000000000    0.0641531913   -0.3903922633
   2.2100000000    0.0604728556   -0.3920158322
   2.2200000000    0.0569040272   -0.3935464232
   2.2300000000    0.0534450508   -0.3949854424
   2.2400000000    0.0500942645   -0.3963343069
   2.2500000000    0.0468500002   -0.3975944442
   2.2600000000    0.0437105851   -0.3987672910
   2.2700000000    0.0406743414   -0.3998542929
   2.2800000000    0.0377395878   -0.4008569034
   2.2900000000    0.0349046395   -0.4017765832
   2.3000000000    0.0321678091   -0.4026147996
   2.3100000000    0.0295274075   -0.4033730254
   2.3200000000    0.0269817442   -0.4040527386
   2.3300000000    0.0245291279   -0.4046554215
   2.3400000000    0.0221678675   -0.4051825599
   2.3500000000    0.0198962723   -0.4056356426
   2.3600000000    0.0177126531   -0.4060161604
   2.3700000000    0.0156153224   -0.4063256058
   2.3800000000    0.0136025952   -0.4065654720
   2.3900000000    0.0116727896   -0.4067372522
   2.4000000000    0.0098242275   -0.4068424392
   2.4100000000    0.0080552348   -0.4068825245
   2.4200000000    0.0063641426   -0.4068589979
   2.4300000000    0.0047492874   -0.4067733464
   2.4400000000    0.0032090115   -0.4066270541
   2.4500000000    0.0017416641   -0.4064216012
   2.4600000000    0.0003456014   -0.4061584637
   2.4700000000   -0.0009808127   -0.4058391123
   2.4800000000   -0.0022392061   -0.4054650125
