q non-Coulombic_BLPS full_BLPS
   0.1800000000   28.7176379652 -359.1333069224
   0.1830000000   28.7089854468 -346.5297680054
   0.1860000000   28.7002128293 -334.5316814463
   0.1890000000   28.6913207288 -323.1009195320
   0.1920000000   28.6823097391 -312.2023097911
   0.1950000000   28.6731804303 -301.8033643260
   0.1980000000   28.6639333490 -291.8740376325
   0.2010000000   28.6545690173 -282.3865095292
   0.2040000000   28.6450879321 -273.3149902677
   0.2070000000   28.6354905647 -264.6355452672
   0.2100000000   28.6257773606 -256.3259372507
   0.2130000000   28.6159487387 -248.3654838333
   0.2160000000   28.6060050912 -240.7349288586
   0.2190000000   28.5959467830 -233.4163259878
   0.2220000000   28.5857741518 -226.3929332250
   0.2250000000   28.5754875074 -219.6491172207
   0.2280000000   28.5650871321 -213.1702663298
   0.2310000000   28.5545732799 -206.9427115229
   0.2340000000   28.5439461770 -200.9536543482
   0.2370000000   28.5332060215 -195.1911012362
   0.2400000000   28.5223529835 -189.6438035158
   0.2430000000   28.5113872049 -184.3012025825
   0.2460000000   28.5003088000 -179.1533797181
   0.2490000000   28.4891178552 -174.1910101163
   0.2520000000   28.4778144295 -169.4053207172
   0.2550000000   28.4663985547 -164.7880514932
   0.2580000000   28.4548702284 -160.3314198737
   0.2610000000   28.4432294426 -156.0280879832
   0.2640000000   28.4314761425 -151.8711325346
   0.2670000000   28.4196102546 -147.8540170141
   0.2700000000   28.4076316793 -143.9705660486
   0.2730000000   28.3955402928 -140.2149417257
   0.2760000000   28.3833359471 -136.5816217083
   0.2790000000   28.3710184704 -133.0653789855
   0.2820000000   28.3585876678 -129.6612631239
   0.2850000000   28.3460433225 -126.3645828931
   0.2880000000   28.3333851956 -123.1708901512
   0.2910000000   28.3206130275 -120.0759648868
   0.2940000000   28.3077265387 -117.0758013242
   0.2970000000   28.2947254301 -114.1665950061
   0.3000000000   28.2816093844 -111.3447307751
   0.3030000000   28.2683780665 -108.6067715850
   0.3060000000   28.2550311247 -105.9494480751
   0.3090000000   28.2415681913 -103.3696488504
   0.3120000000   28.2279888936 -100.8644114018
   0.3150000000   28.2142928166  -98.4309136773
   0.3180000000   28.2004795605  -96.0664661138
   0.3210000000   28.1865490630  -93.7685039194
   0.3240000000   28.1725001732  -91.5345815822
   0.3270000000   28.1583328092  -89.3623642361
   0.3300000000   28.1440465203  -87.2496230331
   0.3330000000   28.1296408477  -85.1942290975
   0.3360000000   28.1151153263  -83.1941481938
   0.3390000000   28.1004694850  -81.2474357226
   0.3420000000   28.0857028481  -79.3522320239
   0.3450000000   28.0708149364  -77.5067579631
   0.3480000000   28.0558052682  -75.7093107838
   0.3510000000   28.0406733604  -73.9582602063
   0.3540000000   28.0254187295  -72.2520447577
   0.3570000000   28.0100408926  -70.5891683155
   0.3600000000   27.9945393686  -68.9681968533
   0.3630000000   27.9789136792  -67.3877553731
   0.3660000000   27.9631633501  -65.8465250130
   0.3690000000   27.9472879114  -64.3432403189
   0.3720000000   27.9312868994  -62.8766866695
   0.3750000000   27.9151598571  -61.4456978450
   0.3780000000   27.8989063353  -60.0491537300
   0.3810000000   27.8825258935  -58.6859781424
   0.3840000000   27.8660181011  -57.3551367815
   0.3870000000   27.8493825377  -56.0556352854
   0.3900000000   27.8326187948  -54.7865173942
   0.3930000000   27.8157264761  -53.5468632096
   0.3960000000   27.7987051982  -52.3357875472
   0.3990000000   27.7815545921  -51.1524383750
   0.4020000000   27.7642743033  -49.9959953333
   0.4050000000   27.7468639929  -48.8656683306
   0.4080000000   27.7293233382  -47.7606962118
   0.4110000000   27.7116520333  -46.6803454943
   0.4140000000   27.6938497902  -45.6239091678
   0.4170000000   27.6759163387  -44.5907055544
   0.4200000000   27.6578514275  -43.5800772254
   0.4230000000   27.6396548246  -42.5913899717
   0.4260000000   27.6213263178  -41.6240318252
   0.4290000000   27.6028657152  -40.6774121270
   0.4320000000   27.5842728457  -39.7509606417
   0.4350000000   27.5655475591  -38.8441267142
   0.4380000000   27.5466897267  -37.9563784660
   0.4410000000   27.5276992417  -37.0872020307
   0.4440000000   27.5085760194  -36.2361008248
   0.4470000000   27.4893199970  -35.4025948534
   0.4500000000   27.4699311348  -34.5862200473
   0.4530000000   27.4504094151  -33.7865276313
   0.4560000000   27.4307548434  -33.0030835221
   0.4590000000   27.4109674478  -32.2354677522
   0.4620000000   27.3910472794  -31.4832739213
   0.4650000000   27.3709944121  -30.7461086720
   0.4680000000   27.3508089425  -30.0235911888
   0.4710000000   27.3304909903  -29.3153527192
   0.4740000000   27.3100406970  -28.6210361174
   0.4770000000   27.2894582281  -27.9402954049
   0.4800000000   27.2687437698  -27.2727953550
   0.4830000000   27.2478975312  -26.6182110910
   0.4860000000   27.2269197426  -25.9762277042
   0.4890000000   27.2058106563  -25.3465398874
   0.4920000000   27.1845705455  -24.7288515840
   0.4950000000   27.1631997040  -24.1228756530
   0.4980000000   27.1416984462  -23.5283335466
   0.5010000000   27.1200671064  -22.9449550025
   0.5040000000   27.0983060381  -22.3724777486
   0.5070000000   27.0764153346  -21.8106474992
   0.5100000000   27.0543959473  -21.2592165646
   0.5130000000   27.0322482855  -20.7179449909
   0.5160000000   27.0099722116  -20.1866003139
   0.5190000000   26.9875684512  -19.6649559096
   0.5220000000   26.9650374634  -19.1527918930
   0.5250000000   26.9423797227  -18.6498946151
   0.5280000000   26.9195957185  -18.1560564508
   0.5310000000   26.8966859542  -17.6710755957
   0.5340000000   26.8736509466  -17.1947558706
   0.5370000000   26.8504912252  -16.7269065337
   0.5400000000   26.8272073316  -16.2673421003
   0.5430000000   26.8037998184  -15.8158821691
   0.5460000000   26.7802692489  -15.3723512557
   0.5490000000   26.7566161899  -14.9365786381
   0.5520000000   26.7328412352  -14.5083981786
   0.5550000000   26.7089449688  -14.0876482114
   0.5580000000   26.6849279880  -13.6741713759
   0.5610000000   26.6607908968  -13.2678144850
   0.5640000000   26.6365343047  -12.8684283932
   0.5670000000   26.6121588266  -12.4758678691
   0.5700000000   26.5876650813  -12.0899914726
   0.5730000000   26.5630536913  -11.7106614369
   0.5760000000   26.5383252817  -11.3377435550
   0.5790000000   26.5134804792  -10.9711070693
   0.5820000000   26.4885199121  -10.6106245665
   0.5850000000   26.4634442085  -10.2561718755
   0.5880000000   26.4382539967   -9.9076279691
   0.5910000000   26.4129499033   -9.5648748692
   0.5940000000   26.3875325535   -9.2277975556
   0.5970000000   26.3620025697   -8.8962838775
   0.6000000000   26.3363605711   -8.5702244688
   0.6030000000   26.3106071730   -8.2495126655
   0.6060000000   26.2847429860   -7.9340444269
   0.6090000000   26.2587686156   -7.6237182586
   0.6120000000   26.2326846613   -7.3184351387
   0.6150000000   26.2064917268   -7.0180984361
   0.6180000000   26.1801903743   -6.7226138861
   0.6210000000   26.1537811861   -6.4318894619
   0.6240000000   26.1272648101   -6.1458352637
   0.6270000000   26.1006416208   -5.8643637956
   0.6300000000   26.0739122871   -5.5873893364
   0.6330000000   26.0470775465   -5.3148281069
   0.6360000000   26.0201375727   -5.0465988458
   0.6390000000   25.9930931035   -4.7826216268
   0.6420000000   25.9659445984   -4.5228186472
   0.6450000000   25.9386925670   -4.2671138493
   0.6480000000   25.9113374612   -4.0154329776
   0.6510000000   25.8838798706   -3.7677033356
   0.6540000000   25.8563201377   -3.5238541236
   0.6570000000   25.8286587679   -3.2838159845
   0.6600000000   25.8008961987   -3.0475211896
   0.6630000000   25.7730328516   -2.8149035460
   0.6660000000   25.7450691549   -2.5858983314
   0.6690000000   25.7170055070   -2.3604422919
   0.6720000000   25.6888422991   -2.1384735809
   0.6750000000   25.6605799093   -1.9199317272
   0.6780000000   25.6322187029   -1.7047575989
   0.6810000000   25.6037590327   -1.4928933688
   0.6840000000   25.5752012383   -1.2842824796
   0.6870000000   25.5465456472   -1.0788696117
   0.6900000000   25.5177925741   -0.8766006508
   0.6930000000   25.4889423212   -0.6774226569
   0.6960000000   25.4599951788   -0.4812838342
   0.6990000000   25.4309514251   -0.2881335018
   0.7020000000   25.4018113264   -0.0979220653
   0.7050000000   25.3725751377    0.0893990110
   0.7080000000   25.3432431026    0.2738772308
   0.7110000000   25.3138154538    0.4555590918
   0.7140000000   25.2842924136    0.6344901116
   0.7170000000   25.2546741937    0.8107148514
   0.7200000000   25.2249609964    0.9842769409
   0.7230000000   25.1951530140    1.1552191011
   0.7260000000   25.1652504303    1.3235831672
   0.7290000000   25.1352534200    1.4894101103
   0.7320000000   25.1051621499    1.6527400592
   0.7350000000   25.0749767792    1.8136123211
   0.7380000000   25.0446974596    1.9720654021
   0.7410000000   25.0143243365    2.1281370265
   0.7440000000   24.9838575444    2.2818641522
   0.7470000000   24.9532972254    2.4332830064
   0.7500000000   24.9226435051    2.5824290796
   0.7530000000   24.8918965041    2.7293371544
   0.7560000000   24.8610563437    2.8740413274
   0.7590000000   24.8301231403    3.0165750206
   0.7620000000   24.7990970073    3.1569709983
   0.7650000000   24.7679780561    3.2952613842
   0.7680000000   24.7367663963    3.4314776757
   0.7710000000   24.7054621346    3.5656507583
   0.7740000000   24.6740653826    3.6978109269
   0.7770000000   24.6425762492    3.8279878919
   0.7800000000   24.6109948401    3.9562107928
   0.7830000000   24.5793212643    4.0825082170
   0.7860000000   24.5475556357    4.2069082143
   0.7890000000   24.5156980687    4.3294383050
   0.7920000000   24.4837486809    4.4501254945
   0.7950000000   24.4517075933    4.5689962854
   0.7980000000   24.4195749312    4.6860766894
   0.8010000000   24.3873508246    4.8013922392
   0.8040000000   24.3550354087    4.9149679995
   0.8070000000   24.3226288245    5.0268285786
   0.8100000000   24.2901312193    5.1369981385
