1400    0.0100000000
   0.8700000000    0.6000108073   -0.4296110217
   0.8800000000    0.5957132362   -0.4341754827
   0.8900000000    0.5913269162   -0.4385533938
   0.9000000000    0.5869405962   -0.4429313050
   0.9100000000    0.5824693197   -0.4471151353
   0.9200000000    0.5779891041   -0.4512785443
   0.9300000000    0.5734468963   -0.4552876399
   0.9400000000    0.5688754413   -0.4592239323
   0.9500000000    0.5642688221   -0.4630645118
   0.9600000000    0.5596092645   -0.4667609994
   0.9700000000    0.5549444298   -0.4704417080
   0.9800000000    0.5502004177   -0.4738856784
   0.9900000000    0.5454564057   -0.4773296488
   1.0000000000    0.5406587665   -0.4805964319
   1.0100000000    0.5358344899   -0.4837752036
   1.0200000000    0.5309940080   -0.4868943530
   1.0300000000    0.5260942291   -0.4897953372
   1.0400000000    0.5211944501   -0.4926963214
   1.0500000000    0.5162455377   -0.4953940003
   1.0600000000    0.5112756215   -0.4980047699
   1.0700000000    0.5062977304   -0.5005779394
   1.0800000000    0.5012636743   -0.5028863053
   1.0900000000    0.4962296182   -0.5051946712
   1.1000000000    0.4911677116   -0.5073507706
   1.1100000000    0.4860761735   -0.5093448665
   1.1200000000    0.4809846354   -0.5113389623
   1.1300000000    0.4758540170   -0.5130791672
   1.1400000000    0.4707123423   -0.5147475430
   1.1500000000    0.4655703466   -0.5164133504
   1.1600000000    0.4603865928   -0.5177450752
   1.1700000000    0.4552028391   -0.5190767999
   1.1800000000    0.4500135158   -0.5203504740
   1.1900000000    0.4447964745   -0.5213352493
   1.2000000000    0.4395794333   -0.5223200245
   1.2100000000    0.4343562936   -0.5232132348
   1.2200000000    0.4291155091   -0.5238415184
   1.2300000000    0.4238747245   -0.5244698020
   1.2400000000    0.4186302528   -0.5249978562
   1.2500000000    0.4133760356   -0.5252609979
   1.2600000000    0.4081218184   -0.5255241395
   1.2700000000    0.4028670887   -0.5257058444
   1.2800000000    0.3976105253   -0.5255962339
   1.2900000000    0.3923539620   -0.5254866234
   1.3000000000    0.3870982265   -0.5253440370
   1.3100000000    0.3818511817   -0.5248552654
   1.3200000000    0.3766041369   -0.5243664937
   1.3300000000    0.3713570921   -0.5238777220
   1.3400000000    0.3661295038   -0.5230515827
   1.3500000000    0.3609046161   -0.5221786173
   1.3600000000    0.3556797283   -0.5213056520
   1.3700000000    0.3504758188   -0.5202039644
   1.3800000000    0.3452864869   -0.5189433396
   1.3900000000    0.3400971549   -0.5176827149
   1.4000000000    0.3349187890   -0.5163361673
   1.4100000000    0.3297791484   -0.5146861903
   1.4200000000    0.3246395077   -0.5130362133
   1.4300000000    0.3194998671   -0.5113862363
   1.4400000000    0.3144097927   -0.5094374177
   1.4500000000    0.3093346802   -0.5073983913
   1.4600000000    0.3042595677   -0.5053593648
   1.4700000000    0.2992028835   -0.5032313230
   1.4800000000    0.2942077881   -0.5008057861
   1.4900000000    0.2892126926   -0.4983802492
   1.5000000000    0.2842175972   -0.4959547123
   1.5100000000    0.2792806472   -0.4932983467
   1.5200000000    0.2743816450   -0.4904913339
   1.5300000000    0.2694826428   -0.4876843211
   1.5400000000    0.2645836406   -0.4848773084
   1.5500000000    0.2597849564   -0.4817376048
   1.5600000000    0.2549986280   -0.4785569249
   1.5700000000    0.2502122996   -0.4753762449
   1.5800000000    0.2454368403   -0.4721651523
   1.5900000000    0.2407801670   -0.4686216875
   1.6000000000    0.2361234938   -0.4650782228
   1.6100000000    0.2314668205   -0.4615347580
   1.6200000000    0.2268370762   -0.4579274112
   1.6300000000    0.2223273135   -0.4540354387
   1.6400000000    0.2178175507   -0.4501434662
   1.6500000000    0.2133077879   -0.4462514937
   1.6600000000    0.2088286529   -0.4422979077
   1.6700000000    0.2044831765   -0.4380754425
   1.6800000000    0.2001377001   -0.4338529774
   1.6900000000    0.1957922237   -0.4296305122
   1.7000000000    0.1914632428   -0.4253800362
   1.7100000000    0.1872993660   -0.4208491983
   1.7200000000    0.1831354892   -0.4163183603
   1.7300000000    0.1789716124   -0.4117875224
   1.7400000000    0.1748077356   -0.4072566844
   1.7500000000    0.1708214524   -0.4024739339
   1.7600000000    0.1668562088   -0.3976613390
   1.7700000000    0.1628909653   -0.3928487441
   1.7800000000    0.1589257217   -0.3880361492
   1.7900000000    0.1550881941   -0.3830750030
   1.8000000000    0.1513380831   -0.3780121791
   1.8100000000    0.1475879722   -0.3729493551
   1.8200000000    0.1438378612   -0.3678865312
   1.8300000000    0.1401309157   -0.3627838060
   1.8400000000    0.1366116054   -0.3575076347
   1.8500000000    0.1330922951   -0.3522314635
   1.8600000000    0.1295729847   -0.3469552922
   1.8700000000    0.1260536744   -0.3416791210
   1.8800000000    0.1226990893   -0.3362883551
   1.8900000000    0.1194250721   -0.3308415405
   1.9000000000    0.1161510550   -0.3253947259
   1.9100000000    0.1128770378   -0.3199479113
   1.9200000000    0.1096145192   -0.3144956807
   1.9300000000    0.1065987154   -0.3089272439
   1.9400000000    0.1035829115   -0.3033588072
   1.9500000000    0.1005671076   -0.2977903704
   1.9600000000    0.0975513037   -0.2922219337
   1.9700000000    0.0946171012   -0.2866335560
   1.9800000000    0.0918704031   -0.2809993580
   1.9900000000    0.0891237050   -0.2753651600
   2.0000000000    0.0863770069   -0.2697309620
   2.0100000000    0.0836303088   -0.2640967639
   2.0200000000    0.0810070266   -0.2584614489
   2.0300000000    0.0785377789   -0.2528247397
   2.0400000000    0.0760685312   -0.2471880305
   2.0500000000    0.0735992836   -0.2415513213
   2.0600000000    0.0711300359   -0.2359146121
   2.0700000000    0.0687926212   -0.2303099476
   2.0800000000    0.0666060290   -0.2247419435
   2.0900000000    0.0644194369   -0.2191739394
   2.1000000000    0.0622328448   -0.2136059353
   2.1100000000    0.0600462526   -0.2080379312
   2.1200000000    0.0579633469   -0.2025241306
   2.1300000000    0.0560608049   -0.1971046178
   2.1400000000    0.0541582630   -0.1916851049
   2.1500000000    0.0522557210   -0.1862655920
   2.1600000000    0.0503531790   -0.1808460791
   2.1700000000    0.0484892982   -0.1754592538
   2.1800000000    0.0468676327   -0.1702772180
   2.1900000000    0.0452459671   -0.1650951822
   2.2000000000    0.0436243016   -0.1599131464
   2.2100000000    0.0420026360   -0.1547311106
   2.2200000000    0.0403809705   -0.1495490748
   2.2300000000    0.0389719957   -0.1446297516
   2.2400000000    0.0376226110   -0.1397840334
   2.2500000000    0.0362732264   -0.1349383151
   2.2600000000    0.0349238417   -0.1300925968
   2.2700000000    0.0335744570   -0.1252468786
   2.2800000000    0.0322989578   -0.1205987961
   2.2900000000    0.0312023119   -0.1164291281
   2.3000000000    0.0301056661   -0.1122594601
   2.3100000000    0.0290090202   -0.1080897920
   2.3200000000    0.0279123744   -0.1039201240
   2.3300000000    0.0268157285   -0.0997504560
   2.3400000000    0.0258613009   -0.0961325695
   2.3500000000    0.0249775694   -0.0927889715
   2.3600000000    0.0240938379   -0.0894453735
   2.3700000000    0.0232101064   -0.0861017755
   2.3800000000    0.0223263749   -0.0827581776
   2.3900000000    0.0214426434   -0.0794145796
   2.4000000000    0.0207168612   -0.0766803992
   2.4100000000    0.0200077253   -0.0740104451
   2.4200000000    0.0192985894   -0.0713404911
   2.4300000000    0.0185894535   -0.0686705370
   2.4400000000    0.0178803176   -0.0660005830
   2.4500000000    0.0171711817   -0.0633306289
   2.4600000000    0.0166044697   -0.0612072197
   2.4700000000    0.0160378998   -0.0590843558
   2.4800000000    0.0154713299   -0.0569614919
   2.4900000000    0.0149047600   -0.0548386279
   2.5000000000    0.0143381901   -0.0527157640
   2.5100000000    0.0137716202   -0.0505929001
   2.5200000000    0.0133148684   -0.0488892324
   2.5300000000    0.0128642040   -0.0472088019
   2.5400000000    0.0124135397   -0.0455283713
   2.5500000000    0.0119628754   -0.0438479408
   2.5600000000    0.0115122111   -0.0421675102
   2.5700000000    0.0110615468   -0.0404870797
   2.5800000000    0.0106809102   -0.0390725700
   2.5900000000    0.0103240563   -0.0377483717
   2.6000000000    0.0099672024   -0.0364241735
   2.6100000000    0.0096103485   -0.0350999752
   2.6200000000    0.0092534946   -0.0337757770
   2.6300000000    0.0088966407   -0.0324515787
   2.6400000000    0.0085694387   -0.0312393961
   2.6500000000    0.0082881658   -0.0302007194
   2.6600000000    0.0080068929   -0.0291620426
   2.6700000000    0.0077256199   -0.0281233659
   2.6800000000    0.0074443470   -0.0270846891
   2.6900000000    0.0071630741   -0.0260460124
   2.7000000000    0.0068818012   -0.0250073356
   2.7100000000    0.0066539399   -0.0241693613
   2.7200000000    0.0064332787   -0.0233584424
   2.7300000000    0.0062126175   -0.0225475235
   2.7400000000    0.0059919562   -0.0217366046
   2.7500000000    0.0057712950   -0.0209256857
   2.7600000000    0.0055506337   -0.0201147667
   2.7700000000    0.0053400973   -0.0193416790
   2.7800000000    0.0051678161   -0.0187115323
   2.7900000000    0.0049955349   -0.0180813855
   2.8000000000    0.0048232537   -0.0174512388
   2.8100000000    0.0046509725   -0.0168210921
   2.8200000000    0.0044786913   -0.0161909453
   2.8300000000    0.0043064101   -0.0155607986
   2.8400000000    0.0041484486   -0.0149838249
   2.8500000000    0.0040146049   -0.0144964076
   2.8600000000    0.0038807611   -0.0140089902
   2.8700000000    0.0037469174   -0.0135215728
   2.8800000000    0.0036130736   -0.0130341555
   2.8900000000    0.0034792298   -0.0125467381
   2.9000000000    0.0033453861   -0.0120593207
   2.9100000000    0.0032226972   -0.0116130359
   2.9200000000    0.0031192525   -0.0112377126
   2.9300000000    0.0030158079   -0.0108623893
   2.9400000000    0.0029123632   -0.0104870660
   2.9500000000    0.0028089186   -0.0101117426
   2.9600000000    0.0027054739   -0.0097364193
   2.9700000000    0.0026020293   -0.0093610960
   2.9800000000    0.0025030918   -0.0090022674
   2.9900000000    0.0024235821   -0.0087145372
   3.0000000000    0.0023440724   -0.0084268070
   3.0100000000    0.0022645627   -0.0081390768
   3.0200000000    0.0021850530   -0.0078513466
   3.0300000000    0.0021055433   -0.0075636164
   3.0400000000    0.0020260335   -0.0072758862
   3.0500000000    0.0019465238   -0.0069881560
   3.0600000000    0.0018826301   -0.0067571630
   3.0700000000    0.0018218815   -0.0065375970
   3.0800000000    0.0017611329   -0.0063180310
   3.0900000000    0.0017003843   -0.0060984650
   3.1000000000    0.0016396357   -0.0058788989
   3.1100000000    0.0015788870   -0.0056593329
   3.1200000000    0.0015181384   -0.0054397669
   3.1300000000    0.0014617028   -0.0052357899
   3.1400000000    0.0014155886   -0.0050691180
   3.1500000000    0.0013694743   -0.0049024461
   3.1600000000    0.0013233600   -0.0047357742
   3.1700000000    0.0012772458   -0.0045691023
   3.1800000000    0.0012311315   -0.0044024304
   3.1900000000    0.0011850172   -0.0042357585
   3.2000000000    0.0011389029   -0.0040690866
   3.2100000000    0.0010992681   -0.0039258079
   3.2200000000    0.0010645033   -0.0038001120
   3.2300000000    0.0010297385   -0.0036744162
   3.2400000000    0.0009949737   -0.0035487203
   3.2500000000    0.0009602089   -0.0034230244
   3.2600000000    0.0009254441   -0.0032973285
   3.2700000000    0.0008906793   -0.0031716327
   3.2800000000    0.0008559146   -0.0030459368
   3.2900000000    0.0008268841   -0.0029410353
   3.3000000000    0.0008008566   -0.0028470236
   3.3100000000    0.0007748291   -0.0027530119
   3.3200000000    0.0007488017   -0.0026590002
   3.3300000000    0.0007227742   -0.0025649885
   3.3400000000    0.0006967467   -0.0024709768
   3.3500000000    0.0006707192   -0.0023769651
   3.3600000000    0.0006446918   -0.0022829534
   3.3700000000    0.0006223054   -0.0022022433
   3.3800000000    0.0006029440   -0.0021325840
   3.3900000000    0.0005835826   -0.0020629248
   3.4000000000    0.0005642211   -0.0019932655
   3.4100000000    0.0005448597   -0.0019236062
   3.4200000000    0.0005254983   -0.0018539470
   3.4300000000    0.0005061369   -0.0017842877
   3.4400000000    0.0004867755   -0.0017146284
   3.4500000000    0.0004686026   -0.0016493246
   3.4600000000    0.0004542813   -0.0015981360
   3.4700000000    0.0004399600   -0.0015469474
   3.4800000000    0.0004256387   -0.0014957588
   3.4900000000    0.0004113175   -0.0014445702
   3.5000000000    0.0003969962   -0.0013933815
   3.5100000000    0.0003826749   -0.0013421929
   3.5200000000    0.0003683536   -0.0012910043
   3.5300000000    0.0003540323   -0.0012398157
   3.5400000000    0.0003424358   -0.0011985640
   3.5500000000    0.0003318982   -0.0011611742
   3.5600000000    0.0003213605   -0.0011237843
   3.5700000000    0.0003108229   -0.0010863945
   3.5800000000    0.0003002853   -0.0010490047
   3.5900000000    0.0002897477   -0.0010116148
   3.6000000000    0.0002792101   -0.0009742250
   3.6100000000    0.0002686725   -0.0009368352
   3.6200000000    0.0002581348   -0.0008994453
   3.6300000000    0.0002504062   -0.0008722026
   3.6400000000    0.0002426941   -0.0008450199
   3.6500000000    0.0002349821   -0.0008178372
   3.6600000000    0.0002272700   -0.0007906545
   3.6700000000    0.0002195580   -0.0007634718
   3.6800000000    0.0002118459   -0.0007362891
   3.6900000000    0.0002041339   -0.0007091064
   3.7000000000    0.0001964219   -0.0006819238
   3.7100000000    0.0001888202   -0.0006551361
   3.7200000000    0.0001832085   -0.0006354676
   3.7300000000    0.0001775967   -0.0006157992
   3.7400000000    0.0001719850   -0.0005961307
   3.7500000000    0.0001663732   -0.0005764622
   3.7600000000    0.0001607615   -0.0005567938
   3.7700000000    0.0001551497   -0.0005371253
   3.7800000000    0.0001495380   -0.0005174568
   3.7900000000    0.0001439262   -0.0004977884
   3.8000000000    0.0001383145   -0.0004781199
   3.8100000000    0.0001340855   -0.0004633588
   3.8200000000    0.0001300271   -0.0004492033
   3.8300000000    0.0001259687   -0.0004350477
   3.8400000000    0.0001219103   -0.0004208922
   3.8500000000    0.0001178519   -0.0004067366
   3.8600000000    0.0001137935   -0.0003925810
   3.8700000000    0.0001097351   -0.0003784255
   3.8800000000    0.0001056768   -0.0003642699
   3.8900000000    0.0001016184   -0.0003501143
   3.9000000000    0.0000981328   -0.0003379787
   3.9100000000    0.0000952168   -0.0003278512
   3.9200000000    0.0000923008   -0.0003177237
   3.9300000000    0.0000893848   -0.0003075962
   3.9400000000    0.0000864688   -0.0002974687
   3.9500000000    0.0000835528   -0.0002873412
   3.9600000000    0.0000806368   -0.0002772136
   3.9700000000    0.0000777208   -0.0002670861
   3.9800000000    0.0000748048   -0.0002569586
   3.9900000000    0.0000718888   -0.0002468311
   4.0000000000    0.0000697083   -0.0002392829
   4.0100000000    0.0000676273   -0.0002320835
   4.0200000000    0.0000655462   -0.0002248841
   4.0300000000    0.0000634652   -0.0002176847
   4.0400000000    0.0000613842   -0.0002104854
   4.0500000000    0.0000593031   -0.0002032860
   4.0600000000    0.0000572221   -0.0001960866
   4.0700000000    0.0000551411   -0.0001888872
   4.0800000000    0.0000530601   -0.0001816879
   4.0900000000    0.0000509927   -0.0001745363
   4.1000000000    0.0000495180   -0.0001694529
   4.1100000000    0.0000480433   -0.0001643696
   4.1200000000    0.0000465685   -0.0001592862
   4.1300000000    0.0000450938   -0.0001542029
   4.1400000000    0.0000436191   -0.0001491195
   4.1500000000    0.0000421443   -0.0001440361
   4.1600000000    0.0000406696   -0.0001389528
   4.1700000000    0.0000391948   -0.0001338694
   4.1800000000    0.0000377201   -0.0001287860
   4.1900000000    0.0000362454   -0.0001237027
   4.2000000000    0.0000351732   -0.0001200184
   4.2100000000    0.0000341357   -0.0001164543
   4.2200000000    0.0000330982   -0.0001128902
   4.2300000000    0.0000320606   -0.0001093261
   4.2400000000    0.0000310231   -0.0001057620
   4.2500000000    0.0000299856   -0.0001021980
   4.2600000000    0.0000289481   -0.0000986339
   4.2700000000    0.0000279105   -0.0000950698
   4.2800000000    0.0000268730   -0.0000915057
   4.2900000000    0.0000258355   -0.0000879416
   4.3000000000    0.0000249762   -0.0000849947
   4.3100000000    0.0000242517   -0.0000825140
   4.3200000000    0.0000235272   -0.0000800333
   4.3300000000    0.0000228027   -0.0000775526
   4.3400000000    0.0000220782   -0.0000750719
   4.3500000000    0.0000213537   -0.0000725912
   4.3600000000    0.0000206292   -0.0000701105
   4.3700000000    0.0000199047   -0.0000676298
   4.3800000000    0.0000191802   -0.0000651491
   4.3900000000    0.0000184557   -0.0000626684
   4.4000000000    0.0000177312   -0.0000601877
   4.4100000000    0.0000172209   -0.0000584454
   4.4200000000    0.0000167189   -0.0000567317
   4.4300000000    0.0000162168   -0.0000550181
   4.4400000000    0.0000157148   -0.0000533044
   4.4500000000    0.0000152128   -0.0000515907
   4.4600000000    0.0000147108   -0.0000498771
   4.4700000000    0.0000142087   -0.0000481634
   4.4800000000    0.0000137067   -0.0000464497
   4.4900000000    0.0000132047   -0.0000447360
   4.5000000000    0.0000127026   -0.0000430224
